Linea,Inicio,Fin,Tipo,FechaInicio,FechaFin
1,PLAZA DE CRISTO REY,PROSPERIDAD,Diario,22/08/2015                    ,31/12/2999                    
2,PLAZA DE MANUEL BECERRA,AVENIDA DE REINA VICTORIA,Diario,22/08/2015                    ,31/12/2999                    
3,PUERTA DE TOLEDO,PLAZA DE SAN AMARO,Diario,31/10/2015                    ,31/12/2999                    
4,PLAZA DE CIUDAD LINEAL,PUERTA DE ARGANDA,Diario,30/01/2014                    ,31/12/2999                    
5,PUERTA DEL SOL/SEVILLA,ESTACION DE CHAMARTIN,Diario,26/11/2014                    ,31/12/2050                    
6,PLAZA DE JACINTO BENAVENTE,ORCASITAS,Diario,13/08/2014                    ,31/12/2999                    
7,PLAZA DE ALONSO MARTINEZ,MANOTERAS,Diario,07/10/2014                    ,31/12/2999                    
8,PLAZA DE LEGAZPI,VALDEBERNARDO,Diario,04/12/2015                    ,31/12/2999                    
9,SEVILLA,HORTALEZA,Diario,14/10/2014                    ,31/12/2999                    
10,PLAZA DE CIBELES,PALOMERAS,Diario,14/10/2015                    ,31/12/2999                    
11,MARQUES DE VIANA,BARRIO BLANCO,Diario,23/07/2015                    ,31/12/2999                    
12,PLAZA DE CRISTO REY,PASEO MARQUES DE ZAFRA,Diario,13/01/2014                    ,31/12/2999                    
14,PLAZA DE CONDE DE CASAL,AVENIDA DE PIO XII,Diario,07/11/2015                    ,31/12/2999                    
15,PUERTA DEL SOL/SEVILLA,LA ELIPA,Diario,29/05/2015                    ,31/12/2999                    
16,MONCLOA,AVENIDA DE PIO XII,Diario,19/06/2015                    ,31/12/2999                    
17,PLAZA MAYOR,COLONIA PARQUE DE EUROPA,Diario,13/01/2014                    ,31/12/2999                    
18,PLAZA MAYOR,VILLAVERDE CRUCE,Diario,13/01/2014                    ,31/12/2999                    
19,PLAZA DE CATALUÑA,PLAZA DE LEGAZPI,Diario,13/01/2014                    ,31/12/2999                    
20,PUERTA DEL SOL/SEVILLA,PAVONES,Diario,29/05/2015                    ,31/12/2999                    
21,PASEO DEL PINTOR ROSALES,BARRIO EL SALVADOR,Diario,12/06/2015                    ,31/12/2999                    
22,PLAZA DE LEGAZPI,VILLAVERDE ALTO,Diario,20/10/2015                    ,31/12/2999                    
23,PLAZA MAYOR,EL ESPINILLO,Diario,02/09/2015                    ,31/12/2999                    
24,ATOCHA RENFE,POZO DEL TIO RAIMUNDO,Diario,12/09/2014                    ,31/12/2999                    
25,OPERA,CASA DE CAMPO,Diario,22/07/2015                    ,31/12/2999                    
26,PLAZA DE TIRSO DE MOLINA,DIEGO DE LEON,Diario,10/01/2014                    ,31/12/2999                    
27,GLORIETA DE EMBAJADORES,PLAZA DE CASTILLA,Diario,07/11/2015                    ,31/12/2999                    
28,PUERTA DE ALCALA,BARRIO DE CANILLEJAS,Diario,13/01/2014                    ,31/12/2999                    
29,AVENIDA DE FELIPE II,MANOTERAS,Diario,19/06/2015                    ,31/12/2999                    
30,AVENIDA DE FELIPE II,PAVONES,Diario,12/09/2014                    ,31/12/2999                    
31,PLAZA MAYOR,ALUCHE,Diario,13/01/2014                    ,31/12/2999                    
32,PLAZA DE JACINTO BENAVENTE,PAVONES,Diario,12/09/2014                    ,31/12/2999                    
33,PRINCIPE PIO,CASA DE CAMPO,Diario,31/10/2014                    ,31/12/2999                    
34,PLAZA DE CIBELES,LAS AGUILAS,Diario,14/10/2015                    ,31/12/2999                    
35,PLAZA MAYOR,CARABANCHEL ALTO,Diario,22/11/2014                    ,31/12/2999                    
36,ATOCHA,CAMPAMENTO,Diario,13/01/2014                    ,31/12/2999                    
37,GLORIETA DE CUATRO CAMINOS,PUENTE DE VALLECAS,Diario,07/11/2015                    ,31/12/2999                    
38,PLAZA DE MANUEL BECERRA,LAS ROSAS,Diario,13/01/2014                    ,31/12/2999                    
39,OPERA,COLONIA SAN IGNACIO DE LOYOLA,Diario,22/07/2015                    ,31/12/2999                    
40,TRIBUNAL,ALFONSO XIII,Diario,13/11/2014                    ,31/12/2999                    
41,ATOCHA,COLONIA MANZANARES,Diario,13/01/2014                    ,31/12/2999                    
42,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE,Diario,12/06/2015                    ,31/12/2999                    
43,AVENIDA DE FELIPE II,ESTRECHO,Diario,28/11/2014                    ,31/12/2999                    
44,PLAZA DEL CALLAO,MARQUES DE VIANA,Diario,23/07/2015                    ,31/12/2999                    
45,PLAZA DE LEGAZPI,AVENIDA DE LA REINA VICTORIA,Diario,07/11/2015                    ,31/12/2999                    
46,SEVILLA,MONCLOA,Diario,22/07/2015                    ,31/12/2999                    
47,ATOCHA,CARABANCHEL ALTO,Diario,25/11/2015                    ,31/12/2999                    
48,PLAZA DE MANUEL BECERRA,BARRIO DE CANILLEJAS,Diario,09/09/2015                    ,31/12/2999                    
49,PLAZA DE CASTILLA,ARROYO DEL FRESNO,Diario,25/11/2015                    ,31/12/2999                    
50,PUERTA DEL SOL,AVENIDA DEL MANZANARES,Diario,13/09/2015                    ,31/12/2999                    
51,PUERTA DEL SOL,PLAZA DEL PERU,Diario,13/01/2014                    ,31/12/2999                    
52,PUERTA DEL SOL/SEVILLA,SANTAMARCA,Diario,19/05/2015                    ,31/12/2999                    
53,PUERTA DEL SOL/SEVILLA,ARTURO SORIA,Diario,19/05/2015                    ,31/12/2999                    
54,ATOCHA RENFE,CONGOSTO,Diario,26/05/2014                    ,31/12/2999                    
55,ATOCHA,BATAN,Diario,02/09/2015                    ,31/12/2999                    
56,DIEGO DE LEON,PUENTE DE VALLECAS,Diario,13/01/2014                    ,31/12/2999                    
57,ATOCHA RENFE,ALTO DEL ARENAL,Diario,24/06/2014                    ,31/12/2999                    
58,PUENTE VALLECAS,BARRIO DE SANTA EUGENIA,Diario,13/01/2014                    ,31/12/2999                    
59,ATOCHA RENFE,COLONIA SAN CRISTOBAL DE LOS ANGELES,Diario,26/05/2014                    ,31/12/2999                    
60,PLAZA DE LA CEBADA,ORCASITAS,Diario,19/08/2015                    ,31/12/2999                    
61,MONCLOA,NARVAEZ,Diario,13/01/2014                    ,31/12/2999                    
62,PRINCIPE PIO,LOS PUERTOS,Diario,26/05/2014                    ,31/12/2999                    
63,AVENIDA DE FELIPE II,BARRIO DE SANTA EUGENIA,Diario,13/01/2014                    ,31/12/2999                    
64,GLORIETA DE CUATRO CAMINOS,ARROYO DEL FRESNO,Diario,22/07/2015                    ,31/12/2999                    
65,PLAZA DE JACINTO BENAVENTE,COLONIA GRAN CAPITAN,Diario,21/08/2015                    ,31/12/2999                    
66,GLORIETA DE CUATRO CAMINOS,FUENCARRAL,Diario,16/09/2015                    ,31/12/2999                    
67,PLAZA DE CASTILLA,BARRIO DE PEÑAGRANDE,Diario,13/01/2014                    ,31/12/2999                    
C1,SENTIDO 1,SENTIDO 2,Diario,13/01/2014                    ,31/12/2999                    
C2,SENTIDO 1,SENTIDO 2,Diario,22/07/2015                    ,31/12/2999                    
70,PLAZA DE CASTILLA,ALSACIA,Diario,13/01/2014                    ,31/12/2999                    
71,PLAZA DE MANUEL BECERRA,PUERTA DE ARGANDA,Diario,08/11/2012                    ,31/12/2999                    
72,DIEGO DE LEON,HORTALEZA,Diario,26/04/2014                    ,31/12/2999                    
73,DIEGO DE LEON,CANILLAS,Diario,14/10/2014                    ,31/12/2999                    
74,PASEO DEL PINTOR ROSALES,PARQUE DE LAS AVENIDAS,Diario,22/08/2015                    ,31/12/2999                    
75,PLAZA DEL CALLAO,COLONIA MANZANARES,Diario,22/07/2015                    ,31/12/2999                    
76,PLAZA BEATA MARIA ANA DE JESUS,VILLAVERDE ALTO,Diario,13/01/2014                    ,31/12/2999                    
77,PLAZA DE CIUDAD LINEAL,COLONIA FIN DE SEMANA,Diario,13/01/2014                    ,31/12/2999                    
78,GLORIETA DE EMBAJADORES,BARRIO DE SAN FERMIN,Diario,08/11/2015                    ,31/12/2999                    
79,PLAZA DE LEGAZPI,VILLAVERDE ALTO,Diario,20/10/2015                    ,31/12/2999                    
81,OPORTO,HOSPITAL 12 DE OCTUBRE,Diario,13/08/2014                    ,31/12/2999                    
82,MONCLOA,BARRIO DE PEÑAGRANDE,Diario,17/01/2015                    ,31/12/2999                    
83,MONCLOA,BARRIO DEL PILAR,Diario,14/09/2015                    ,31/12/2999                    
85,ATOCHA RENFE,BARRIO LOS ROSALES,Diario,22/01/2015                    ,31/12/2999                    
86,ATOCHA RENFE,VILLAVERDE ALTO,Diario,04/03/2015                    ,31/12/2999                    
87,PLAZA DE LA REPUBLICA DOMINICANA,LAS CARCAVAS,Diario,10/12/2015                    ,31/12/2999                    
E,PLAZA DEL CONDE DE CASAL,SIERRA DE GUADALUPE,Universitario,13/01/2014                    ,31/12/2999                    
F,GLORIETA DE CUATRO CAMINOS,CIUDAD UNIVERSITARIA,Universitario,13/01/2014                    ,31/12/2999                    
G,MONCLOA,CIUDAD UNIVERSITARIA,Universitario,13/01/2014                    ,31/12/2999                    
A,MONCLOA,CAMPUS SOMOSAGUAS,Universitario,25/11/2015                    ,31/12/2999                    
H,ALUCHE,CAMPUS DE SOMOSAGUAS,Universitario,25/11/2015                    ,31/12/2999                    
