,Parada,Nombre,Linea,Sentido,Latitud,Longitud
0,1,AV.VALDEMARIN-ALTAIR,161,Ida,40.47192715473767,-3.7816069722441306
1,2,AV.VALDEMARIN-LA SALLE,161,Ida,40.47045587477707,-3.784682905538272
2,3,BLANCA DE CASTILLA-Cº DE LA ZARZUELA,161,Ida,40.46674043948087,-3.782578960337495
3,4,PLEYADES-ANA TERESA,161,Ida,40.46322531124082,-3.7828212439291296
4,5,PLEYADES-AV.OSA MAYOR,161,Ida,40.46122401245696,-3.7830150335349217
5,6,BLANCA DE CASTILLA-Cº DE LA ZARZUELA,161,Vuelta,40.466769164891964,-3.782328046121838
6,7,AV.VALDEMARIN-LA SALLE,161,Vuelta,40.470241334826014,-3.7844362255030726
7,8,AV.VALDEMARIN-BLANCA DE CASTILLA,161,Vuelta,40.471698282553845,-3.780813951179456
8,11,AV.BURGOS-BUGANVILLA,14,Ida,40.47343937123325,-3.6745503575505114
9,12,AV.NUESTRA SRA.DE BEGOÑA-LASARTE,162,Ida,40.47167046181793,-3.808446967780491
10,13,GUECHO-GOBELAS,162,Ida,40.472838770826115,-3.8165417277815674
11,14,GUECHO-GOBELAS,162,Ida,40.47287655317502,-3.816294454406739
12,16,AV.VICTORIA-PADRE HUIDOBRO,162,Ida,40.468718334514236,-3.8119031789620976
13,18,AV.VICTORIA-PADRE HUIDOBRO,162,Vuelta,40.46898567878574,-3.8123192599770066
14,19,ACCESO A LA A6-AV.VICTORIA,162,Vuelta,40.47092087119978,-3.817674540739268
15,20,GOBELAS-GUECHO,162,Vuelta,40.47228501365325,-3.815862612846622
16,21,MOTRICO-LEQUEITIO,162,Vuelta,40.47112376250204,-3.811896760329077
17,22,AMOREBIETA-AV.NUESTRA SRA.DE BEGOÑA,162,Vuelta,40.47078336950287,-3.8090497394561904
18,23,ESCUELA UNIVERSITARIA DE ESTADISTICA,83,Vuelta,40.44997440048618,-3.7345884717430082
19,23,ESCUELA UNIVERSITARIA DE ESTADISTICA,133,Vuelta,40.44997440048618,-3.7345884717430082
20,23,ESCUELA UNIVERSITARIA DE ESTADISTICA,162,Vuelta,40.44997440048618,-3.7345884717430082
21,24,GTA.MAR DE CRISTAL,125,Ida,40.47129529572504,-3.6364143843810246
